ENSG00000147789.15	ZNF7
ENSG00000147862.16	NFIB
ENSG00000148516.21	ZEB1
ENSG00000148737.16	TCF7L2
ENSG00000149050.9	ZNF214
ENSG00000150347.15	ARID5B
ENSG00000150907.7	FOXO1
ENSG00000151090.18	THRB
ENSG00000151615.3	POU4F2
ENSG00000151702.16	FLI1
ENSG00000152433.14	ZNF547
ENSG00000152443.12	ZNF776
ENSG00000152475.6	ZNF837
ENSG00000152804.10	HHEX
ENSG00000153879.8	CEBPG
ENSG00000154655.15	L3MBTL4
ENSG00000154727.10	GABPA
ENSG00000154957.13	ZNF18
ENSG00000155090.14	KLF10
ENSG00000155592.15	ZKSCAN2
ENSG00000156127.6	BATF
ENSG00000156273.15	BACH1
ENSG00000157429.15	ZNF19
ENSG00000157554.18	ERG
ENSG00000157557.11	ETS2
ENSG00000157613.10	CREB3L1
ENSG00000157933.9	SKI
ENSG00000158055.15	GRHL3
ENSG00000158711.13	ELK4
ENSG00000158773.14	USF1
ENSG00000159184.7	HOXB13
ENSG00000159216.18	RUNX1
ENSG00000159885.13	ZNF222
ENSG00000159905.14	ZNF221
ENSG00000159917.16	ZNF235
ENSG00000160007.18	ARHGAP35
ENSG00000160062.14	ZBTB8A
ENSG00000160094.14	ZNF362
ENSG00000160113.5	NR2F6
ENSG00000160199.14	PKNOX1
ENSG00000160352.15	ZNF714
ENSG00000160633.12	SAFB
ENSG00000160685.13	ZBTB7B
ENSG00000160908.14	ZNF394
ENSG00000160961.11	ZNF333
ENSG00000161405.16	IKZF3
ENSG00000161551.14	ZNF577
ENSG00000161940.10	BCL6B
ENSG00000162086.14	ZNF75A
ENSG00000162367.11	TAL1
ENSG00000162419.12	GMEB1
ENSG00000162599.15	NFIA
ENSG00000162676.11	GFI1
ENSG00000162702.7	ZNF281
ENSG00000162714.12	ZNF496
ENSG00000162772.16	ATF3
ENSG00000162992.3	NEUROD1
ENSG00000163435.15	ELF3
ENSG00000163508.12	EOMES
ENSG00000163795.13	ZNF513
ENSG00000163848.19	ZNF148
ENSG00000163884.3	KLF15
ENSG00000164048.13	ZNF589
ENSG00000164107.8	HAND2
ENSG00000164256.10	PRDM9
ENSG00000164330.16	EBF1
ENSG00000164458.9	T
ENSG00000164631.18	ZNF12
ENSG00000164684.13	ZNF704
ENSG00000164749.11	HNF4G
ENSG00000164916.10	FOXK1
ENSG00000164920.9	OSR2
ENSG00000165030.3	NFIL3
ENSG00000165156.14	ZHX1
ENSG00000165512.4	ZNF22
ENSG00000165556.9	CDX2
ENSG00000165588.16	OTX2
ENSG00000165684.4	SNAPC4
ENSG00000165702.14	GFI1B
ENSG00000165821.11	SALL2
ENSG00000165891.15	E2F7
ENSG00000166261.10	ZNF202
ENSG00000166478.9	ZNF143
ENSG00000166526.16	ZNF3
